url	start	end	label	source_caption
https://www.youtube.com/watch?v=ouvP3twvHhQ	1145.310	1145.910	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2034.000	2034.600	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2097.860	2098.460	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	2279.530	2280.130	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	2286.940	2287.540	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	2379.820	2380.420	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	2393.270	2393.870	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2420.130	2420.730	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2429.310	2429.910	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	2434.840	2435.440	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2533.380	2533.980	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	2703.270	2703.870	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2770.650	2771.250	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2792.940	2793.540	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2850.270	2850.870	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	3162.160	3162.760	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	3231.360	3231.960	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	3508.310	3508.910	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	3764.720	3765.320	Israelis	Israelis
https://www.youtube.com/watch?v=ouvP3twvHhQ	4070.740	4071.340	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	4464.900	4465.500	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	4710.030	4710.630	Israeli.	Israeli.
https://www.youtube.com/watch?v=ouvP3twvHhQ	4747.090	4747.690	Israelis	Israelis
https://www.youtube.com/watch?v=ouvP3twvHhQ	4748.590	4749.190	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	4770.710	4771.310	Israelis	Israelis
https://www.youtube.com/watch?v=ouvP3twvHhQ	4776.860	4777.460	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	4791.630	4792.230	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	4836.810	4837.410	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	4943.680	4944.280	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	5025.240	5025.840	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	5111.680	5112.280	Israel's	Israel's
https://www.youtube.com/watch?v=ouvP3twvHhQ	5122.210	5122.810	Israelis	Israelis
https://www.youtube.com/watch?v=ouvP3twvHhQ	5151.360	5151.960	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	5160.640	5161.240	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	5260.520	5261.120	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	5472.100	5472.700	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	5497.610	5498.210	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	5515.140	5515.740	Israel's	Israel's
