url	start	end	label	source_caption
https://www.youtube.com/watch?v=ouvP3twvHhQ	1145.340	1145.910	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2034.000	2034.630	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2098.010	2098.340	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	2279.700	2279.990	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	2287.060	2287.450	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	2379.910	2380.360	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	2393.450	2393.720	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2420.240	2420.650	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2429.380	2429.870	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	2434.980	2435.330	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2533.380	2534.010	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	2703.360	2703.810	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2770.790	2771.140	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2792.990	2793.520	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	2850.340	2850.830	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	3162.270	3162.680	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	3230.980	3232.370	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	3508.430	3508.820	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	3764.840	3765.230	Israelis	Israelis
https://www.youtube.com/watch?v=ouvP3twvHhQ	4070.870	4071.240	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	4465.030	4465.400	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	4710.080	4710.610	Israeli.	Israeli.
https://www.youtube.com/watch?v=ouvP3twvHhQ	4747.010	4747.800	Israelis	Israelis
https://www.youtube.com/watch?v=ouvP3twvHhQ	4748.530	4749.280	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	4770.890	4771.160	Israelis	Israelis
https://www.youtube.com/watch?v=ouvP3twvHhQ	4776.950	4777.400	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	4791.830	4792.060	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	4836.970	4837.280	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	4943.840	4944.150	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	5025.160	5025.950	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	5111.480	5112.510	Israel's	Israel's
https://www.youtube.com/watch?v=ouvP3twvHhQ	5122.320	5122.730	Israelis	Israelis
https://www.youtube.com/watch?v=ouvP3twvHhQ	5150.570	5152.780	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	5160.440	5161.470	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	5260.690	5260.980	Israel	Israel
https://www.youtube.com/watch?v=ouvP3twvHhQ	5472.290	5472.540	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	5497.750	5498.100	Israeli	Israeli
https://www.youtube.com/watch?v=ouvP3twvHhQ	5515.110	5515.800	Israel's	Israel's
https://www.youtube.com/watch?v=ouvP3twvHhQ	5527.970	5528.480	Israel's	Israel's
https://www.youtube.com/watch?v=ouvP3twvHhQ	5538.590	5539.020	Israeli	Israeli
